player_team,player_number,player_name,pitcher_batting,birth_date,height_weight
HT,74,김종국,우투우타,1973-09-14,"180cm, 80kg"
HT,70,진갑용,우투우타,1974-05-08,"182cm, 90kg"
HT,71,이범호,우투우타,1981-11-25,"183cm, 93kg"
HT,72,김상훈,우투우타,1977-10-27,"180cm, 92kg"
HT,73,정명원,우투우타,1966-06-14,"189cm, 89kg"
HT,75,조재영,우투우타,1980-03-15,"182cm, 87kg"
HT,76,박기남,우투우타,1981-08-14,"175cm, 80kg"
HT,80,이현곤,우투우타,1980-02-21,"183cm, 83kg"
HT,96,곽정철,우투우타,1986-03-14,"186cm, 97kg"
HT,9,곽도규,좌투좌타,2004-04-12,"185cm, 90kg"
HT,17,임기영,우언우타,1993-04-16,"184cm, 86kg"
HT,20,이준영,좌투좌타,1992-08-10,"177cm, 85kg"
HT,39,최지민,좌투좌타,2003-09-10,"185cm, 100kg"
HT,45,메디나,우투우타,1996-12-18,"185cm, 84kg"
HT,48,이의리,좌투좌타,2002-06-16,"185cm, 90kg"
HT,51,전상현,우투우타,1996-04-18,"182cm, 84kg"
HT,53,김기훈,좌투좌타,2000-01-03,"184cm, 93kg"
HT,62,정해영,우투우타,2001-08-23,"189cm, 98kg"
HT,64,앤더슨,우투우타,1994-10-29,"193cm, 102kg"
HT,69,김대유,좌투좌타,1991-05-08,"187cm, 92kg"
HT,22,주효상,우투좌타,1997-11-11,"182cm, 85kg"
HT,26,한승택,우투우타,1994-06-21,"174cm, 83kg"
HT,1,박찬호,우투우타,1995-06-05,"178cm, 72kg"
HT,3,김선빈,우투우타,1989-12-18,"165cm, 77kg"
HT,5,김도영,우투우타,2003-10-02,"183cm, 85kg"
HT,6,홍종표,우투좌타,2000-05-02,"178cm, 72kg"
HT,8,류지혁,우투좌타,1994-01-13,"181cm, 75kg"
HT,14,김규성,우투좌타,1997-03-08,"183cm, 73kg"
HT,33,변우혁,우투우타,2000-03-18,"185cm, 95kg"
HT,52,황대인,우투우타,1996-02-10,"178cm, 100kg"
HT,25,이우성,우투우타,1994-07-17,"182cm, 95kg"
HT,27,김호령,우투우타,1992-04-30,"178cm, 85kg"
HT,30,소크라테스,좌투좌타,1992-09-06,"188cm, 93kg"
HT,34,최형우,우투좌타,1983-12-16,"180cm, 106kg"
HT,35,김석환,좌투좌타,1999-02-28,"187cm, 97kg"
HT,57,고종욱,우투좌타,1989-01-11,"184cm, 83kg"
HT,66,이창진,우투우타,1991-03-04,"173cm, 85kg"
