player_team,player_number,player_name,pitcher_batting,birth_date,height_weight
LT,,,,,"cm, kg"
LT,70,공필성,우투우타,1967-11-11,"177cm, 77kg"
LT,72,윤재국,좌투좌타,1975-05-05,"176cm, 78kg"
LT,73,김태룡,우투우타,1968-02-23,"175cm, 75kg"
LT,74,최기문,우투양타,1973-06-10,"182cm, 88kg"
LT,76,주형광,좌투좌타,1976-03-01,"185cm, 92kg"
LT,82,최만호,우투우타,1974-03-04,"170cm, 73kg"
LT,86,손인호,좌투좌타,1975-04-03,"180cm, 92kg"
LT,95,김승관,우투우타,1976-03-05,"186cm, 89kg"
LT,,톰슨,우투우타,1994-01-31,"193cm, 100kg"
LT,1,손승락,우투우타,1982-03-04,"187cm, 99kg"
LT,15,오현택,우언우타,1985-07-17,"180cm, 73kg"
LT,22,구승민,우투우타,1990-06-12,"181cm, 80kg"
LT,23,고효준,좌투좌타,1983-02-08,"179cm, 74kg"
LT,34,김원중,우투좌타,1993-06-14,"192cm, 91kg"
LT,35,이인복,우투우타,1991-06-18,"187cm, 94kg"
LT,46,레일리,좌투좌타,1988-06-29,"190cm, 84kg"
LT,48,진명호,우투좌타,1989-03-20,"192cm, 98kg"
LT,56,정성종,우투좌타,1995-11-16,"181cm, 88kg"
LT,59,차재용,좌투좌타,1996-08-20,"184cm, 82kg"
LT,2,안중열,우투우타,1995-09-01,"175cm, 87kg"
LT,27,나균안,우투우타,1998-03-16,"185cm, 99kg"
LT,44,김준태,우투좌타,1994-07-31,"175cm, 91kg"
LT,,아수아헤,우투좌타,1991-11-02,"175cm, 72kg"
LT,4,오윤석,우투우타,1992-02-24,"180cm, 87kg"
LT,7,신본기,우투우타,1989-03-21,"179cm, 88kg"
LT,10,이대호,우투우타,1982-06-21,"194cm, 130kg"
LT,17,채태인,좌투좌타,1982-10-11,"187cm, 94kg"
LT,25,한동희,우투우타,1999-06-01,"181cm, 99kg"
LT,36,전병우,우투우타,1992-10-24,"182cm, 90kg"
LT,0,나경민,좌투좌타,1991-12-12,"177cm, 80kg"
LT,3,민병헌,우투우타,1987-03-10,"178cm, 87kg"
LT,8,전준우,우투우타,1986-02-25,"184cm, 97kg"
LT,9,정훈,우투우타,1987-07-18,"180cm, 85kg"
LT,24,김문호,좌투좌타,1987-06-22,"185cm, 102kg"
LT,31,손아섭,우투좌타,1988-03-18,"174cm, 84kg"
