player_team,player_number,player_name,pitcher_batting,birth_date,height_weight
NC,74,김경문,우투우타,1958-11-01,"175cm, 78kg"
NC,71,김평호,우투우타,1963-12-23,"172cm, 75kg"
NC,72,전준호,좌투좌타,1969-02-15,"180cm, 72kg"
NC,73,최기문,우투양타,1973-06-10,"182cm, 83kg"
NC,75,진종길,우투좌타,1981-09-23,"178cm, 80kg"
NC,76,지연규,우투우타,1969-08-15,"185cm, 84kg"
NC,78,최일언,우투우타,1961-07-27,"177cm, 80kg"
NC,81,이도형,우투우타,1975-05-24,"182cm, 102kg"
NC,85,이현곤,우투우타,1980-02-21,"183cm, 83kg"
NC,20,노건우,좌투좌타,1989-10-22,"182cm, 89kg"
NC,24,유원상,우투우타,1986-06-17,"187cm, 93kg"
NC,29,이민호,우투우타,1993-08-11,"185cm, 90kg"
NC,45,임창민,우투우타,1985-08-25,"183cm, 85kg"
NC,46,원종현,우언우타,1987-07-31,"182cm, 83kg"
NC,48,왕웨이중,좌투좌타,1992-04-25,"188cm, 83kg"
NC,53,베렛,우투우타,1990-06-19,"188cm, 86kg"
NC,55,김진성,우투우타,1985-03-07,"186cm, 92kg"
NC,56,강윤구,좌투좌타,1990-07-10,"183cm, 89kg"
NC,61,배재환,우투우타,1995-02-24,"186cm, 95kg"
NC,42,신진호,우투우타,1991-10-20,"186cm, 103kg"
NC,50,정범모,우투우타,1987-03-26,"184cm, 94kg"
NC,57,박대온,우투우타,1995-08-28,"182cm, 85kg"
NC,1,박민우,우투좌타,1993-02-06,"185cm, 80kg"
NC,3,모창민,우투우타,1985-05-08,"188cm, 89kg"
NC,7,이상호,우투우타,1989-02-05,"180cm, 82kg"
NC,13,손시헌,우투우타,1980-10-19,"172cm, 73kg"
NC,18,박석민,우투우타,1985-06-22,"178cm, 88kg"
NC,35,스크럭스,우투우타,1987-09-23,"183cm, 98kg"
NC,52,노진혁,우투좌타,1989-07-15,"184cm, 80kg"
NC,60,최준석,우투우타,1983-02-15,"187cm, 130kg"
NC,65,도태훈,우투좌타,1993-03-18,"184cm, 85kg"
NC,19,이재율,좌투좌타,1993-05-02,"185cm, 75kg"
NC,31,김성욱,우투우타,1993-05-01,"181cm, 83kg"
NC,36,권희동,우투우타,1990-12-30,"177cm, 85kg"
NC,39,이종욱,좌투좌타,1980-06-18,"176cm, 78kg"
NC,47,나성범,좌투좌타,1989-10-03,"183cm, 100kg"
