player_team,player_number,player_name,pitcher_batting,birth_date,height_weight
SK,70,김원형,우투우타,1972-07-05,"177cm, 75kg"
SK,71,손지환,우투우타,1978-11-13,"180cm, 87kg"
SK,72,정경배,우투우타,1974-02-20,"176cm, 84kg"
SK,74,조원우,우투우타,1971-04-08,"178cm, 82kg"
SK,75,이진영,좌투좌타,1980-06-15,"185cm, 90kg"
SK,76,김민재,우투우타,1973-01-03,"181cm, 84kg"
SK,80,조웅천,우언우타,1971-03-17,"183cm, 82kg"
SK,82,정상호,우투우타,1982-12-24,"187cm, 100kg"
SK,84,조동화,좌투좌타,1981-03-22,"175cm, 75kg"
SK,91,이승호,좌투좌타,1981-09-09,"176cm, 86kg"
SK,15,고효준,좌투좌타,1983-02-08,"179cm, 81kg"
SK,22,서진용,우투우타,1992-10-02,"184cm, 88kg"
SK,29,김광현,좌투좌타,1988-07-22,"188cm, 88kg"
SK,33,맥카티,좌투좌타,1995-10-12,"173cm, 83kg"
SK,38,노경은,우투우타,1984-03-11,"187cm, 100kg"
SK,41,박민호,우언우타,1992-02-25,"185cm, 95kg"
SK,47,오원석,좌투좌타,2001-04-23,"182cm, 80kg"
SK,49,신헌민,우투우타,2002-07-19,"187cm, 88kg"
SK,59,백승건,좌투좌타,2000-10-29,"183cm, 85kg"
SK,67,최민준,우투우타,1999-06-11,"178cm, 83kg"
SK,92,이로운,우투우타,2004-09-11,"185cm, 105kg"
SK,98,송영진,우투양타,2004-05-28,"185cm, 90kg"
SK,20,이재원,우투우타,1988-02-24,"185cm, 98kg"
SK,24,김민식,우투좌타,1989-06-28,"180cm, 80kg"
SK,32,조형우,우투우타,2002-04-04,"187cm, 95kg"
SK,2,박성한,우투좌타,1998-03-30,"180cm, 77kg"
SK,6,김성현,우투우타,1987-03-09,"172cm, 72kg"
SK,14,최정,우투우타,1987-02-28,"180cm, 90kg"
SK,53,최주환,우투좌타,1988-02-28,"178cm, 73kg"
SK,56,전의산,우투좌타,2000-11-25,"188cm, 98kg"
SK,58,최경모,우투우타,1996-06-17,"168cm, 73kg"
SK,0,김강민,우투우타,1982-09-13,"182cm, 87kg"
SK,8,최상민,좌투좌타,1999-08-20,"178cm, 75kg"
SK,17,추신수,좌투좌타,1982-07-13,"180cm, 97kg"
SK,27,에레디아,좌투우타,1991-01-31,"178cm, 88kg"
SK,35,한유섬,우투좌타,1989-08-09,"190cm, 105kg"
SK,37,오태곤,우투우타,1991-11-18,"186cm, 88kg"
SK,54,최지훈,우투좌타,1997-07-23,"178cm, 82kg"
