player_team,player_number,player_name,pitcher_batting,birth_date,height_weight
SS,86,김한수,우투우타,1971-10-30,"186cm, 88kg"
SS,70,신동주,우투우타,1972-12-14,"183cm, 83kg"
SS,72,이윤효,우투우타,1970-05-09,"172cm, 74kg"
SS,73,김재걸,우투우타,1972-09-07,"177cm, 70kg"
SS,80,김상진,우투우타,1970-03-15,"182cm, 91kg"
SS,81,김호,우투우타,1967-05-03,"175cm, 80kg"
SS,82,김태한,좌투좌타,1969-10-22,"181cm, 87kg"
SS,83,세리자와,우투우타,1968-04-12,"177cm, 73kg"
SS,99,정현욱,우투우타,1978-12-02,"187cm, 102kg"
SS,1,윤성환,우투우타,1981-10-08,"183cm, 88kg"
SS,2,우규민,우언좌타,1985-01-21,"184cm, 75kg"
SS,18,심창민,우언우타,1993-02-01,"185cm, 86kg"
SS,19,김대우,우언우타,1988-11-21,"183cm, 85kg"
SS,28,박근홍,좌투좌타,1985-08-22,"180cm, 90kg"
SS,29,백정현,좌투좌타,1987-07-13,"184cm, 80kg"
SS,35,페트릭,우투우타,1989-07-29,"192cm, 90kg"
SS,43,장지훈,우투우타,1997-03-31,"190cm, 92kg"
SS,45,권오준,우언우타,1980-03-09,"182cm, 80kg"
SS,46,이승현,우투우타,1991-11-20,"181cm, 92kg"
SS,60,김승현,우투우타,1992-07-09,"180cm, 105kg"
SS,53,최경철,우투우타,1980-08-15,"180cm, 86kg"
SS,56,이지영,우투우타,1986-02-27,"178cm, 83kg"
SS,5,조동찬,우투우타,1983-07-27,"180cm, 80kg"
SS,9,강한울,우투좌타,1991-09-12,"181cm, 66kg"
SS,17,이원석,우투우타,1986-10-21,"182cm, 82kg"
SS,32,최영진,우투우타,1988-05-10,"185cm, 87kg"
SS,36,이승엽,좌투좌타,1976-08-18,"183cm, 87kg"
SS,50,러프,우투우타,1986-07-28,"192cm, 105kg"
SS,52,백상원,우투좌타,1988-01-02,"177cm, 76kg"
SS,62,정병곤,우투우타,1988-03-23,"176cm, 72kg"
SS,8,우동균,우투좌타,1989-12-03,"175cm, 68kg"
SS,24,이영욱,좌투좌타,1985-10-11,"180cm, 85kg"
SS,25,배영섭,우투우타,1986-06-27,"178cm, 78kg"
SS,34,김헌곤,우투우타,1988-11-09,"174cm, 81kg"
SS,58,박해민,우투좌타,1990-02-24,"180cm, 75kg"
SS,65,구자욱,우투좌타,1993-02-12,"189cm, 75kg"
