player_team,player_number,player_name,pitcher_batting,birth_date,height_weight
LG,75,류중일,우투우타,1963-04-28,"176cm, 74kg"
LG,6,류지현,우투우타,1971-05-25,"176cm, 70kg"
LG,9,이병규,좌투좌타,1974-10-25,"185cm, 85kg"
LG,71,최일언,우투우타,1961-07-27,"177cm, 80kg"
LG,72,김재걸,우투우타,1972-09-07,"177cm, 70kg"
LG,74,경헌호,우투우타,1977-07-25,"181cm, 98kg"
LG,80,세리자와,우투우타,1968-04-12,"177cm, 73kg"
LG,81,김호,우투우타,1967-05-03,"175cm, 80kg"
LG,86,신경식,좌투좌타,1961-08-19,"190cm, 95kg"
LG,1,임찬규,우투우타,1992-11-20,"185cm, 80kg"
LG,3,켈리,우투우타,1989-10-04,"191cm, 98kg"
LG,17,최동환,우투우타,1989-09-19,"184cm, 83kg"
LG,19,고우석,우투우타,1998-08-06,"182cm, 90kg"
LG,21,진해수,좌투좌타,1986-06-26,"187cm, 85kg"
LG,26,정찬헌,우투우타,1990-01-26,"187cm, 94kg"
LG,35,윌슨,우투우타,1989-09-25,"188cm, 84kg"
LG,37,이우찬,좌투좌타,1992-08-04,"183cm, 88kg"
LG,46,신정락,우언우타,1987-05-13,"177cm, 78kg"
LG,54,여건욱,우투우타,1986-09-16,"185cm, 92kg"
LG,59,정우영,우언우타,1999-08-19,"193cm, 85kg"
LG,27,유강남,우투우타,1992-07-15,"182cm, 88kg"
LG,42,정상호,우투우타,1982-12-24,"187cm, 100kg"
LG,,조셉,우투우타,1991-07-16,"185cm, 115kg"
LG,2,백승현,우투우타,1995-05-26,"183cm, 78kg"
LG,5,신민재,우투양타,1996-01-21,"171cm, 64kg"
LG,7,정주현,우투우타,1990-10-13,"176cm, 76kg"
LG,8,김용의,우투좌타,1985-08-20,"187cm, 74kg"
LG,10,오지환,우투좌타,1990-03-12,"186cm, 80kg"
LG,13,윤진호,우투우타,1986-06-23,"178cm, 78kg"
LG,52,서상우,우투좌타,1989-09-17,"187cm, 90kg"
LG,63,양종민,우투우타,1990-10-09,"181cm, 81kg"
LG,22,김현수,우투좌타,1988-01-12,"188cm, 100kg"
LG,32,이천웅,좌투좌타,1988-10-20,"182cm, 83kg"
LG,33,박용택,우투좌타,1979-04-21,"185cm, 90kg"
LG,36,이형종,우투우타,1989-06-07,"183cm, 80kg"
LG,55,채은성,우투우타,1990-02-06,"186cm, 92kg"
