player_team,player_number,player_name,pitcher_batting,birth_date,height_weight
WO,78,홍원기,우투우타,1973-06-05,"187cm, 95kg"
WO,71,박재상,좌투좌타,1982-07-20,"178cm, 85kg"
WO,72,김창현,우투우타,1985-07-01,"178cm, 72kg"
WO,73,오윤,우투우타,1981-09-08,"186cm, 100kg"
WO,76,채종국,우투우타,1975-10-24,"181cm, 85kg"
WO,77,강병식,우투좌타,1977-04-23,"182cm, 91kg"
WO,80,마정길,우언우타,1979-03-13,"173cm, 90kg"
WO,83,노병오,우투우타,1983-09-07,"180cm, 103kg"
WO,86,김지수,우투우타,1986-08-23,"178cm, 81kg"
WO,89,박도현,우투우타,1983-04-12,"183cm, 110kg"
WO,12,김건희,우투우타,2004-11-07,"185cm, 96kg"
WO,21,문성현,우투우타,1991-11-09,"180cm, 89kg"
WO,27,김태훈,우투우타,1992-03-02,"187cm, 101kg"
WO,28,김재웅,좌투좌타,1998-10-22,"174cm, 86kg"
WO,41,안우진,우투우타,1999-08-30,"192cm, 90kg"
WO,43,요키시,좌투우타,1989-07-29,"188cm, 93kg"
WO,45,임창민,우투우타,1985-08-25,"183cm, 94kg"
WO,46,원종현,우언우타,1987-07-31,"182cm, 88kg"
WO,50,하영민,우투우타,1995-05-07,"180cm, 74kg"
WO,60,김동혁,우투우타,2001-12-27,"185cm, 84kg"
WO,66,변시원,우언우타,1993-04-01,"178cm, 87kg"
WO,75,후라도,우투우타,1996-01-30,"188cm, 109kg"
WO,32,김재현,우투우타,1993-03-18,"178cm, 90kg"
WO,44,김동헌,우투우타,2004-07-15,"182cm, 91kg"
WO,56,이지영,우투우타,1986-02-27,"177cm, 88kg"
WO,2,김태진,우투좌타,1995-10-07,"170cm, 73kg"
WO,3,김혜성,우투좌타,1999-01-27,"180cm, 80kg"
WO,8,이승원,우투우타,2004-07-02,"185cm, 75kg"
WO,13,전병우,우투우타,1992-10-24,"182cm, 93kg"
WO,24,송성문,우투좌타,1996-08-29,"183cm, 88kg"
WO,27,러셀,우투우타,1994-01-23,"183cm, 90kg"
WO,29,임지열,우투우타,1995-08-22,"180cm, 94kg"
WO,33,김휘집,우투우타,2002-01-01,"181cm, 92kg"
WO,9,이병규,우투좌타,1994-10-05,"175cm, 73kg"
WO,10,김준완,우투좌타,1991-01-20,"174cm, 73kg"
WO,15,이용규,좌투좌타,1985-08-26,"170cm, 74kg"
WO,36,이형종,우투우타,1989-06-07,"183cm, 87kg"
WO,51,이정후,우투좌타,1998-08-20,"185cm, 86kg"
