player_team,player_number,player_name,pitcher_batting,birth_date,height_weight
HH,40,한용덕,우투우타,1965-06-02,"184cm, 84kg"
HH,21,송진우,좌투좌타,1966-02-16,"181cm, 80kg"
HH,35,장종훈,우투우타,1968-04-10,"186cm, 93kg"
HH,71,전형도,우투우타,1971-10-30,"177cm, 83kg"
HH,73,채종국,우투우타,1975-10-24,"181cm, 85kg"
HH,75,타나베,우투우타,1966-05-11,"178cm, 76kg"
HH,80,고동진,좌투좌타,1980-04-01,"183cm, 85kg"
HH,81,차일목,우투우타,1981-01-26,"176cm, 81kg"
HH,88,이양기,우투우타,1981-01-31,"184cm, 90kg"
HH,17,김범수,좌투좌타,1995-10-03,"182cm, 81kg"
HH,19,김재영,우언우타,1993-07-22,"187cm, 84kg"
HH,22,이태양,우투좌타,1990-07-03,"192cm, 97kg"
HH,36,장민재,우투우타,1990-03-19,"184cm, 98kg"
HH,38,안영명,우투우타,1984-11-19,"183cm, 90kg"
HH,44,서폴드,우투우타,1990-01-16,"188cm, 101kg"
HH,46,송은범,우투우타,1984-03-17,"182cm, 93kg"
HH,48,채드벨,좌투우타,1989-02-28,"190cm, 90kg"
HH,54,서균,우언양타,1992-01-11,"185cm, 81kg"
HH,57,정우람,좌투좌타,1985-06-01,"181cm, 82kg"
HH,58,박상원,우투우타,1994-09-09,"189cm, 88kg"
HH,64,임준섭,좌투좌타,1989-07-16,"181cm, 88kg"
HH,13,최재훈,우투우타,1989-08-27,"178cm, 76kg"
HH,26,지시완,우투우타,1994-04-10,"180cm, 92kg"
HH,1,하주석,우투좌타,1994-02-25,"184cm, 84kg"
HH,6,오선진,우투우타,1989-07-07,"178cm, 80kg"
HH,7,송광민,우투우타,1983-06-24,"184cm, 90kg"
HH,8,정근우,우투우타,1982-10-02,"172cm, 80kg"
HH,10,김태연,우투우타,1997-06-10,"178cm, 99kg"
HH,37,노시환,우투우타,2000-12-03,"185cm, 96kg"
HH,43,정은원,우투좌타,2000-01-17,"177cm, 78kg"
HH,50,이성열,우투좌타,1984-07-13,"185cm, 102kg"
HH,52,김태균,우투우타,1982-05-29,"185cm, 110kg"
HH,28,양성우,우투좌타,1989-05-02,"174cm, 84kg"
HH,30,호잉,우투좌타,1989-05-18,"190cm, 92kg"
HH,39,김민하,우투우타,1989-02-25,"181cm, 88kg"
HH,51,장진혁,우투좌타,1993-09-30,"184cm, 83kg"
