player_team,player_number,player_name,pitcher_batting,birth_date,height_weight
SK,85,염경엽,우투우타,1968-03-01,"178cm, 65kg"
SK,72,김무관,우투우타,1955-03-02,"173cm, 80kg"
SK,75,손지환,우투우타,1978-11-13,"180cm, 87kg"
SK,76,박재상,좌투좌타,1982-07-20,"178cm, 82kg"
SK,77,백재호,우투우타,1974-06-30,"177cm, 82kg"
SK,80,박경완,우투우타,1972-07-11,"178cm, 76kg"
SK,81,장재중,우투우타,1971-05-19,"172cm, 72kg"
SK,83,손혁,우투우타,1973-08-01,"186cm, 82kg"
SK,86,정수성,우투좌타,1978-03-04,"173cm, 72kg"
SK,1,김택형,좌투좌타,1996-10-10,"185cm, 90kg"
SK,13,하재훈,우투우타,1990-10-29,"182cm, 90kg"
SK,15,산체스,우투우타,1989-11-28,"185cm, 88kg"
SK,22,서진용,우투우타,1992-10-02,"184cm, 88kg"
SK,29,김광현,좌투좌타,1988-07-22,"188cm, 88kg"
SK,32,박정배,우투우타,1982-04-01,"180cm, 85kg"
SK,41,박민호,우언우타,1992-02-25,"185cm, 95kg"
SK,50,다익손,우투우타,1994-07-02,"205cm, 117kg"
SK,51,김태훈,좌투좌타,1990-05-19,"176cm, 88kg"
SK,55,이승진,우투우타,1995-01-07,"186cm, 88kg"
SK,99,강지광,우투우타,1990-10-23,"181cm, 100kg"
SK,16,허도환,우투우타,1984-07-31,"176cm, 87kg"
SK,20,이재원,우투우타,1988-02-24,"185cm, 98kg"
SK,3,나주환,우투우타,1984-06-14,"180cm, 84kg"
SK,4,최항,우투좌타,1994-01-03,"183cm, 88kg"
SK,6,김성현,우투우타,1987-03-09,"172cm, 72kg"
SK,14,최정,우투우타,1987-02-28,"180cm, 90kg"
SK,16,박승욱,우투좌타,1992-12-04,"184cm, 85kg"
SK,27,로맥,우투우타,1985-09-30,"188cm, 100kg"
SK,28,강승호,우투우타,1994-02-09,"180cm, 90kg"
SK,0,김강민,우투우타,1982-09-13,"182cm, 87kg"
SK,8,김재현,우투양타,1987-11-07,"175cm, 72kg"
SK,9,정진기,우투좌타,1992-10-10,"185cm, 92kg"
SK,17,노수광,우투좌타,1990-08-06,"180cm, 80kg"
SK,37,정의윤,우투우타,1986-07-25,"185cm, 90kg"
SK,38,고종욱,우투좌타,1989-01-11,"184cm, 83kg"
SK,62,한유섬,우투좌타,1989-08-09,"190cm, 105kg"
