player_team,player_number,player_name,pitcher_batting,birth_date,height_weight
KT,72,김진욱,우투우타,1960-08-05,"182cm, 87kg"
KT,74,정명원,우투우타,1966-06-14,"189cm, 89kg"
KT,75,최훈재,좌투좌타,1967-01-21,"178cm, 78kg"
KT,77,강성우,우투우타,1970-01-05,"173cm, 80kg"
KT,78,김용국,우투우타,1962-06-21,"176cm, 77kg"
KT,88,채종범,우투우타,1977-12-03,"180cm, 85kg"
KT,90,고영민,우투우타,1984-02-08,"182cm, 73kg"
KT,91,신명철,우투우타,1978-08-06,"181cm, 77kg"
KT,99,류택현,좌투좌타,1971-10-23,"185cm, 80kg"
KT,1,고영표,우언우타,1991-09-16,"187cm, 88kg"
KT,11,홍성용,좌투좌타,1986-11-18,"180cm, 85kg"
KT,18,배우열,우투양타,1986-05-19,"181cm, 80kg"
KT,20,엄상백,우언우타,1996-10-04,"187cm, 72kg"
KT,21,이상화,우투우타,1988-03-01,"188cm, 95kg"
KT,29,류희운,우투우타,1995-06-19,"191cm, 103kg"
KT,32,피어밴드,좌투좌타,1985-08-22,"190cm, 102kg"
KT,34,심재민,좌투좌타,1994-02-18,"182cm, 92kg"
KT,39,고창성,우언우타,1984-12-21,"184cm, 82kg"
KT,55,김사율,우투우타,1980-04-17,"181cm, 95kg"
KT,60,주권,우투우타,1995-05-31,"181cm, 82kg"
KT,62,김재윤,우투우타,1990-09-16,"185cm, 91kg"
KT,22,장성우,우투우타,1990-01-17,"187cm, 100kg"
KT,52,이해창,우투우타,1987-05-11,"184cm, 85kg"
KT,2,심우준,우투우타,1995-04-28,"183cm, 75kg"
KT,6,박경수,우투우타,1984-03-31,"178cm, 80kg"
KT,7,정현,우투우타,1994-06-01,"181cm, 80kg"
KT,10,황재균,우투우타,1987-07-28,"183cm, 96kg"
KT,13,윤석민,우투우타,1985-09-04,"180cm, 88kg"
KT,16,박기혁,우투우타,1981-06-04,"179cm, 77kg"
KT,33,김동욱,우투우타,1988-06-24,"183cm, 89kg"
KT,37,오태곤,우투우타,1991-11-18,"186cm, 88kg"
KT,24,로하스,우투양타,1990-05-24,"189cm, 102kg"
KT,27,오정복,우투우타,1986-10-13,"177cm, 75kg"
KT,35,이진영,좌투좌타,1980-06-15,"185cm, 90kg"
KT,50,강백호,우투좌타,1999-07-29,"184cm, 98kg"
KT,61,유한준,우투우타,1981-07-01,"186cm, 97kg"
