player_team,player_number,player_name,pitcher_batting,birth_date,height_weight
NC,70,이동욱,우투우타,1974-07-17,"179cm, 81kg"
NC,27,이호준,우투우타,1976-02-08,"187cm, 95kg"
NC,72,전준호,좌투좌타,1969-02-15,"180cm, 72kg"
NC,74,한규식,우투우타,1976-09-14,"176cm, 78kg"
NC,75,진종길,우투좌타,1981-09-23,"178cm, 80kg"
NC,77,용덕한,우투우타,1981-04-09,"176cm, 82kg"
NC,81,손민한,우투우타,1975-01-02,"180cm, 85kg"
NC,88,채종범,우투우타,1977-12-03,"180cm, 85kg"
NC,98,김수경,우투우타,1979-08-20,"183cm, 90kg"
NC,,버틀러,우투우타,1991-03-13,"188cm, 95kg"
NC,28,장현식,우투우타,1995-02-24,"181cm, 91kg"
NC,30,박진우,우언우타,1990-02-12,"180cm, 83kg"
NC,38,윤지웅,좌투좌타,1988-03-11,"180cm, 75kg"
NC,40,루친스키,우투우타,1988-12-30,"188cm, 91kg"
NC,46,원종현,우언우타,1987-07-31,"182cm, 83kg"
NC,51,이재학,우언우타,1990-10-04,"181cm, 84kg"
NC,55,김진성,우투우타,1985-03-07,"186cm, 92kg"
NC,56,강윤구,좌투좌타,1990-07-10,"183cm, 89kg"
NC,61,배재환,우투우타,1995-02-24,"186cm, 95kg"
NC,20,정범모,우투우타,1987-03-26,"184cm, 94kg"
NC,25,양의지,우투우타,1987-06-05,"179cm, 85kg"
NC,50,베탄코트,우투우타,1991-09-02,"184cm, 98kg"
NC,5,김찬형,우투우타,1997-12-29,"182cm, 80kg"
NC,6,김태진,우투좌타,1995-10-07,"170cm, 75kg"
NC,7,이상호,우투우타,1989-02-05,"180cm, 82kg"
NC,10,지석훈,우투우타,1984-03-17,"181cm, 74kg"
NC,13,손시헌,우투우타,1980-10-19,"172cm, 73kg"
NC,16,모창민,우투우타,1985-05-08,"188cm, 89kg"
NC,18,박석민,우투우타,1985-06-22,"178cm, 88kg"
NC,32,이원재,우투좌타,1989-05-20,"186cm, 86kg"
NC,52,노진혁,우투좌타,1989-07-15,"184cm, 80kg"
NC,5,이우성,우투우타,1994-07-17,"182cm, 95kg"
NC,31,김성욱,우투우타,1993-05-01,"181cm, 83kg"
NC,36,권희동,우투우타,1990-12-30,"177cm, 85kg"
NC,41,강진성,우투우타,1993-10-19,"180cm, 81kg"
NC,49,박헌욱,우투우타,1993-04-11,"184cm, 88kg"
