player_team,player_number,player_name,pitcher_batting,birth_date,height_weight
SS,86,김한수,우투우타,1971-10-30,"186cm, 88kg"
SS,73,김재걸,우투우타,1972-09-07,"177cm, 70kg"
SS,74,박재현,우투우타,1974-02-08,"179cm, 86kg"
SS,78,강봉규,우투우타,1978-01-12,"183cm, 88kg"
SS,79,박진만,우투우타,1976-11-30,"178cm, 82kg"
SS,82,김태한,좌투좌타,1969-10-22,"181cm, 87kg"
SS,88,오치아이,우투우타,1969-07-25,"178cm, 86kg"
SS,91,정현욱,우투우타,1978-12-02,"187cm, 102kg"
SS,96,진갑용,우투우타,1974-05-08,"182cm, 90kg"
SS,1,윤성환,우투우타,1981-10-08,"183cm, 88kg"
SS,18,심창민,우언우타,1993-02-01,"185cm, 86kg"
SS,23,보니야,우투우타,1990-06-18,"186cm, 102kg"
SS,27,한기주,우투우타,1987-04-29,"186cm, 95kg"
SS,30,김기태,우투우타,1987-05-11,"183cm, 96kg"
SS,35,아델만,우투우타,1987-11-13,"196cm, 102kg"
SS,38,황수범,우투우타,1986-11-17,"183cm, 81kg"
SS,45,권오준,우언우타,1980-03-09,"182cm, 80kg"
SS,51,최충연,우투우타,1997-03-05,"190cm, 85kg"
SS,57,임현준,좌언좌타,1988-12-21,"185cm, 88kg"
SS,60,김승현,우투우타,1992-07-09,"180cm, 105kg"
SS,47,강민호,우투우타,1985-08-18,"185cm, 100kg"
SS,56,이지영,우투우타,1986-02-27,"178cm, 83kg"
SS,4,김성훈,우투좌타,1993-10-27,"172cm, 68kg"
SS,5,조동찬,우투우타,1983-07-27,"180cm, 80kg"
SS,7,김상수,우투우타,1990-03-23,"175cm, 68kg"
SS,9,강한울,우투좌타,1991-09-12,"181cm, 66kg"
SS,14,안주형,우투좌타,1993-08-14,"176cm, 68kg"
SS,16,이원석,우투우타,1986-10-21,"182cm, 82kg"
SS,32,최영진,우투우타,1988-05-10,"185cm, 87kg"
SS,50,러프,우투우타,1986-07-28,"190cm, 113kg"
SS,24,이성곤,우투좌타,1992-03-25,"186cm, 93kg"
SS,25,배영섭,우투우타,1986-06-27,"178cm, 78kg"
SS,33,박한이,좌투좌타,1979-01-28,"182cm, 91kg"
SS,34,김헌곤,우투우타,1988-11-09,"174cm, 81kg"
SS,58,박해민,우투좌타,1990-02-24,"180cm, 75kg"
SS,65,구자욱,우투좌타,1993-02-12,"189cm, 75kg"
