player_team,player_number,player_name,pitcher_batting,birth_date,height_weight
HT,77,김기태,좌투좌타,1969-05-23,"180cm, 85kg"
HT,72,김민호,우투우타,1969-03-19,"181cm, 81kg"
HT,73,박흥식,좌투좌타,1962-01-05,"170cm, 81kg"
HT,74,김종국,우투우타,1973-09-14,"180cm, 80kg"
HT,76,조계현,우투우타,1964-05-01,"178cm, 87kg"
HT,78,이대진,우투우타,1974-06-09,"180cm, 83kg"
HT,79,김태룡,우투우타,1968-02-23,"175cm, 72kg"
HT,82,타케시,우투우타,1967-03-17,"178cm, 95kg"
HT,87,코우조,우투양타,1962-01-02,"170cm, 75kg"
HT,1,심동섭,좌투좌타,1991-09-20,"185cm, 93kg"
HT,12,임창용,우언우타,1976-06-04,"180cm, 75kg"
HT,35,고효준,좌투좌타,1983-02-08,"179cm, 74kg"
HT,38,임기영,우언우타,1993-04-16,"184cm, 78kg"
HT,39,박지훈,우투우타,1989-09-21,"182cm, 85kg"
HT,41,한승혁,우투좌타,1993-01-03,"185cm, 94kg"
HT,43,헥터,우투우타,1987-01-26,"191cm, 93kg"
HT,48,홍건희,우투우타,1992-09-29,"185cm, 92kg"
HT,55,김광수,우투우타,1981-05-05,"182cm, 84kg"
HT,24,이홍구,우투우타,1990-12-11,"180cm, 95kg"
HT,42,한승택,우투우타,1994-06-21,"174cm, 83kg"
HT,0,최병연,우투우타,1986-12-21,"178cm, 83kg"
HT,3,김선빈,우투우타,1989-12-18,"165cm, 77kg"
HT,4,서동욱,우투좌타,1984-03-21,"188cm, 99kg"
HT,6,최원준,우투좌타,1997-03-23,"178cm, 81kg"
HT,13,이인행,우투좌타,1991-06-30,"185cm, 84kg"
HT,16,김주찬,우투우타,1981-03-25,"183cm, 94kg"
HT,25,이범호,우투우타,1981-11-25,"183cm, 100kg"
HT,33,김주형,우투우타,1985-12-15,"186cm, 112kg"
HT,2,신종길,우투좌타,1983-12-31,"183cm, 87kg"
HT,17,노수광,우투좌타,1990-08-06,"180cm, 80kg"
HT,29,나지완,우투우타,1985-05-19,"182cm, 105kg"
HT,31,이호신,좌투좌타,1984-05-19,"176cm, 76kg"
HT,34,최형우,우투좌타,1983-12-16,"179cm, 106kg"
HT,50,버나디나,좌투좌타,1984-06-12,"188cm, 95kg"
