,player_id,player_name,birth_date,throwing_hand,batting_hand,position
122,73211,노경은,1984-03-11,우투,우타,투수
123,61101,임찬규,1992-11-20,우투,우타,투수
124,66451,최충연,1997-03-05,우투,우타,투수
125,75750,양훈,1986-05-29,우투,우타,투수
126,67646,박진태,1994-10-19,우투,우타,투수
127,61215,안규영,1988-04-12,우투,우타,투수
128,60255,장민익,1991-02-05,좌투,좌타,투수
129,70615,강영식,1981-06-17,좌투,좌타,투수
130,77263,김강률,1988-08-28,우투,우타,투수
131,79358,강윤구,1990-07-10,좌투,좌타,투수
132,64907,강장산,1990-02-16,우투,우타,투수
133,62929,이민호,1993-08-11,우투,우타,투수
134,79791,김동호,1985-09-10,우투,우타,투수
135,76639,손영민,1987-04-28,우언,우타,투수
136,67119,고우석,1998-08-06,우투,우타,투수
137,77927,장필준,1988-04-08,우투,우타,투수
138,64596,김유영,1994-05-02,좌투,좌타,투수
139,63342,조상우,1994-09-04,우투,우타,투수
140,67815,다이아몬드,1986-07-30,좌투,좌타,투수
141,65516,배제성,1996-09-29,우투,좌타,투수
142,67467,김시현,1998-09-26,우투,우타,투수
143,66226,보우덴,1986-09-09,우투,우타,투수
144,70839,신승현,1983-08-13,우언,우타,투수
145,64464,이수민,1995-09-11,좌투,좌타,투수
146,66659,정동현,1997-03-20,좌투,좌타,투수
147,67591,강동호,1994-04-21,우투,우타,투수
148,72261,황덕균,1983-04-28,우투,우타,투수
149,67421,최지광,1998-03-13,우투,우타,투수
150,72447,권혁,1983-11-06,좌투,좌타,투수
151,79191,배우열,1986-05-19,우투,양타,투수
152,67266,박치국,1998-03-10,우언,우타,투수
153,72641,김진우,1983-03-07,우투,우타,투수
154,77452,이동걸,1983-08-12,우투,우타,투수
155,66309,김홍빈,1996-09-16,우투,우타,투수
156,75149,홍성용,1986-11-18,좌투,좌타,투수
157,75138,신재웅,1982-03-28,좌투,좌타,투수
158,64029,류희운,1995-06-19,우투,우타,투수
159,79847,김태훈,1990-05-19,좌투,좌타,투수
160,66741,김재영,1993-07-22,우언,우타,투수
161,62892,허건엽,1993-07-24,우투,우타,투수
162,62868,임치영,1988-10-29,우언,우타,투수
163,64350,하영민,1995-05-07,우투,우타,투수
164,65769,김범수,1995-10-03,좌투,좌타,투수
165,66160,유재유,1997-03-03,우투,우타,투수
166,67313,브리검,1988-02-10,우투,우타,투수
167,79617,정용운,1990-07-06,좌투,좌타,투수
168,61496,황수범,1986-11-17,우투,우타,투수
169,79222,성영훈,1990-06-24,우투,우타,투수
170,66291,이영하,1997-11-01,우투,우타,투수
171,63104,조근종,1990-05-16,우언,우타,투수
172,78366,민태호,1989-09-12,좌투,좌타,투수
173,99563,김사율,1980-04-17,우투,우타,투수
174,67360,오윤성,1998-12-10,우투,우타,투수
175,74748,정재원,1984-08-11,우언,우타,투수
176,67423,레나도,1989-09-09,우투,우타,투수
177,66960,정수민,1990-04-01,우투,우타,투수
178,66801,김찬호,1997-03-10,우투,우타,투수
179,64462,안규현,1995-11-30,우투,우타,투수
180,79440,정인욱,1990-12-18,우투,우타,투수
181,66047,박세진,1997-06-27,좌투,좌타,투수
182,97336,최영필,1974-05-13,우투,우타,투수
183,65042,홍성무,1993-01-25,우투,우타,투수
184,66660,남재현,1996-09-13,우투,좌타,투수
185,62338,박종윤,1993-02-09,좌투,좌타,투수
186,66201,고봉재,1993-05-14,우언,우타,투수
187,61457,임현준,1988-12-21,좌투,좌타,투수
188,78552,강승현,1985-10-06,우투,좌타,투수
189,63027,안성무,1990-12-14,우투,우타,투수
190,60337,김대유,1991-05-08,좌투,좌타,투수
191,77253,이용호,1988-05-07,우투,우타,투수
192,61456,윤영삼,1992-07-14,우투,양타,투수
193,60441,임진우,1987-05-13,우투,우타,투수
194,66305,박승주,1994-02-12,우투,우타,투수
195,64267,전용훈,1995-03-20,우투,우타,투수
196,76653,박경태,1987-09-02,좌투,좌타,투수
197,65509,차재용,1996-08-20,좌투,좌타,투수
198,60634,임기준,1991-10-08,좌투,좌타,투수
199,63749,이충호,1994-09-20,좌투,좌타,투수
200,79235,조승수,1990-06-09,우투,우타,투수
201,65345,김해수,1996-12-13,우투,우타,투수
202,64759,서균,1992-01-11,우투,양타,투수
203,62696,김종훈,1989-04-18,우투,우타,투수
204,67737,김진영,1992-04-16,우투,우타,투수
205,75537,조정훈,1985-05-03,우투,우타,투수
206,67143,손주영,1998-12-02,좌투,좌타,투수
207,63894,김정빈,1994-06-08,좌투,좌타,투수
208,64861,이건욱,1995-02-13,우투,우타,투수
209,67703,박상원,1994-09-09,우투,우타,투수
210,65696,김명찬,1992-10-24,좌투,좌타,투수
211,65543,린드블럼,1987-06-15,우투,우타,투수
212,66858,정동윤,1997-10-22,우투,좌타,투수
213,66493,임대한,1993-08-13,우투,좌타,투수
214,64051,이영준,1991-10-10,좌투,좌타,투수
215,60757,김경태,1991-02-28,좌투,좌타,투수
216,62056,정영일,1988-11-16,우투,우타,투수
217,65392,김정인,1996-06-03,우투,우타,투수
218,60848,최원재,1987-04-29,우언,우타,투수
219,79825,여건욱,1986-09-16,우투,우타,투수
220,78819,백인식,1987-11-19,우언,우타,투수
221,65908,류재인,1996-05-06,우언,좌타,투수
222,61891,임정우,1991-04-02,우투,우타,투수
223,67066,이종혁,1997-05-29,우투,우타,투수
224,72321,배힘찬,1983-12-08,우투,우타,투수
225,76757,유원상,1986-06-17,우투,우타,투수
226,75730,윤근영,1986-05-07,좌투,좌타,투수
227,79545,진명호,1989-03-20,우투,좌타,투수
228,63619,손동욱,1989-08-06,좌투,좌타,투수
229,65616,이민우,1993-02-09,우투,우타,투수
230,65764,김민우,1995-07-25,우투,우타,투수
231,60105,배민관,1991-07-29,우투,우타,투수
232,66098,김도영,1993-01-26,우투,우타,투수
233,65742,로저스,1985-08-14,우투,우타,투수
234,68748,샘슨,1991-01-06,우투,우타,투수
235,68703,박주홍,1999-08-20,좌투,좌타,투수
236,78248,고창성,1984-12-21,우언,우타,투수
237,68948,왕웨이중,1992-04-25,좌투,좌타,투수
238,68135,윌슨,1989-09-25,우투,우타,투수
239,68526,듀브론트,1987-10-23,좌투,좌타,투수
240,76610,한기주,1987-04-29,우투,우타,투수
241,68220,곽빈,1999-05-28,우투,우타,투수
242,68742,휠러,1990-10-27,좌투,좌타,투수
243,66018,김선기,1991-09-01,우투,우타,투수
244,65643,문경찬,1992-07-08,우투,우타,투수
245,67640,유승철,1998-03-02,우투,양타,투수
246,68953,베렛,1990-06-19,우투,우타,투수
247,77829,김광현,1988-07-22,좌투,좌타,투수
248,67588,윤성빈,1999-02-26,우투,우타,투수
249,78536,김대우,1984-07-26,우투,좌타,투수
250,63543,구승민,1990-06-12,우투,우타,투수
251,68435,아델만,1987-11-13,우투,우타,투수
252,68815,산체스,1989-11-28,우투,우타,투수
253,68240,후랭코프,1988-08-27,우투,우타,투수
254,62263,변진수,1993-04-01,우언,우타,투수
255,68400,보니야,1990-06-18,우투,우타,투수
256,76461,김기태,1987-05-11,우투,우타,투수
257,65639,박정수,1996-01-29,우투,우타,투수
258,62920,노성호,1989-10-22,좌투,좌타,투수
259,68415,양창섭,1999-09-22,우투,우타,투수
260,64155,임지섭,1995-09-06,좌투,좌타,투수
261,61145,이우찬,1992-08-04,좌투,좌타,투수
262,74543,최대성,1985-05-17,우투,우타,투수
263,63348,조덕길,1989-10-02,우투,우타,투수
264,68067,신병률,1996-01-30,우투,우타,투수
265,79293,오현택,1985-07-17,우언,우타,투수
266,61962,김정후,1988-09-26,우투,우타,투수
267,63936,윤강민,1990-10-08,우언,우타,투수
268,62360,김동준,1992-03-02,우투,우타,투수
269,68701,김진욱,2000-01-13,우투,우타,투수
270,68249,박신지,1999-07-16,우투,우타,투수
271,63145,배재준,1994-11-24,우투,우타,투수
272,68659,김유신,1999-06-14,좌투,좌타,투수
273,64805,이승진,1995-01-07,우투,우타,투수
